id_study	system	strata	habitat	cat	tax_resp_class	l.n.c	l.p.c	l.int.c	Date_entry	author	pubyear	citation	publication	pubvol	pages	hab_descrip	location	latitud	longitud	elev	n_avail	n_total	p_avail	p_total	c_total	pH	light	temp	precip	npp	npp_typ	ab	ab_unit	study_typ	cons_man	HA	fert	fdchlg_man	num_nut_tmnt	num_nut	duration	fert_area	cons_area	vol	fert_unit	p_rate	n_rate	meta_source	note_study
BBH007	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.075349437	20060315	Elser&Goldman	1991	Limnol Oceanogr 36: 64-90	Limnol Oceanogr	36	64-90	NA	lake tahoe CA	39.17	-120.13	1899	0.892857143	NA	0.129032258	0.129032258	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	MULTIPLE	3	1	2	1	2	4	0.075	0.075	20	microM	14	135	Helmut'student entering data	additional data on productivity; areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH008	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.464305608	20060315	Elser&Goldman	1991	Limnol Oceanogr 36: 64-90	Limnol Oceanogr	36	64-90	NA	castle lake CA	41.22	-122.37	1657	0.464285714	NA	0.258064516	0.322580645	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	MULTIPLE	3	1	2	1	2	4	0.046	0.046	10	microM	2.870967742	57.14285714	Helmut'student entering data	additional data on productivity; areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
BBH019	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.370748671	20060120	Spencer&Ellis	1998	Freshwater Biology 39: 755-763	Freshwater Biology	39	755-763	NA	NA	47.87	-114.03	NA	0.757142857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	NA	1	2	2	2	4.5	NA	NA	20	NA	NA	NA	Helmut'student entering data	NA
BBH021	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.36422215	20060124	Spencer&Ellis	1998	Freshwater Biology 39: 755-763	Freshwater Biology	39	755-763	NA	NA	47.87	-114.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	NA	1	2	2	2	4.5	NA	NA	20	microM	1.937358734	10	Helmut'student entering data	NA
BBH023	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.587786665	20060124	Spencer&Ellis	1998	Freshwater Biology 39: 755-763	Freshwater Biology	39	755-763	NA	NA	47.87	-114.03	NA	0.321428571	NA	0.012903226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	NA	1	2	2	2	4.5	NA	NA	20	microM	1.937358734	10	Helmut'student entering data	NA
BBH025	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.223143551	20060124	Spencer&Ellis	1998	Freshwater Biology 39: 755-763	Freshwater Biology	39	755-763	NA	NA	47.87	-114.03	NA	0.35	NA	0.016129032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FIELD	ENCLOSURE	NA	1	2	2	2	4.5	NA	NA	20	microM	1.937358734	10	Helmut'student entering data	NA
BBH073	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.639079959	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	0.892857143	89.28571429	0.193548387	2.903225806	NA	NA	NA	25.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH074	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.405465108	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	2.142857143	98.21428571	0.064516129	1.774193548	NA	NA	NA	17	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH075	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.693147181	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	1.428571429	142.8571429	0.241935484	2.419354839	NA	NA	NA	28	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH076	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.470003629	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	0.714285714	125	0.064516129	1.290322581	NA	NA	NA	31.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH077	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	1.086189769	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	0.892857143	101.7857143	0.064516129	1.129032258	NA	NA	NA	27	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH078	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	-0.084557388	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	23.21428571	139.2857143	1.290322581	5	NA	NA	NA	23	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH079	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	-0.117783036	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	25.71428571	135.7142857	1.774193548	6.774193548	NA	NA	NA	16	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH080	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.182321557	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	28.57142857	137.5	1.903225806	4.838709677	NA	NA	NA	25	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH081	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.502091944	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	1.428571429	60.71428571	0.64516129	1.935483871	NA	NA	NA	29.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH082	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.296265816	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	3.571428571	73.21428571	0.677419355	4.032258065	NA	NA	NA	28.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH083	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.606135804	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	0.714285714	121.4285714	0.903225806	3.225806452	NA	NA	NA	22.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH084	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.105360516	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	NA	NA	NA	NA	NA	NA	NA	15.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH085	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.826678573	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	1.071428571	78.57142857	0.322580645	2.258064516	NA	NA	NA	27.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH086	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	1.06784063	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	1.428571429	94.64285714	0.064516129	1.774193548	NA	NA	NA	30.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH087	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.889857475	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	0.714285714	75	0.35483871	1.774193548	NA	NA	NA	30	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH088	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0.54522705	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	0.714285714	114.2857143	0.258064516	1.935483871	NA	NA	NA	24.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
BBH089	FRESHWATER	PELAGIC	LAKE	LAKE PELAGIC	BIOMASS	NA	NA	0	20060203	Havens&&	1996	Freshwater Biology 36: 579-597	Freshwater Biology	36	579-597	NA	NA	26.5	-80.8	NA	30.71428571	135.7142857	1.532258065	6.290322581	NA	NA	NA	15.5	NA	NA	NA	NA	NA	FIELD	EXCLOSURE	NA	1	2	0	0	3	NA	NA	20	microM	1.614465612	35.71428571	Helmut'student entering data	NA
