Study ID,Study type,Ecosystem type,Habitat,Sampling size,Chi2,p (Chi2),a->J,p (a->J),a->B,p (a->B),b->J,p (b->J),b->B,p (b->B),J->B,p (J->B)
HILL01,field,freshwater,lake,100,0.052,0.819,-0.179,0.069,0.7,0.0001,-0.067,0.504,-0.041,0.654,-0.087,0.278
DECL01,exp,freshwater,mesocosm,77,1.513,0.219,-0.121,0.332,0.215,0.058,0.052,0.665,-0.024,0.804,-0.471,0.0001
URABE01,field,freshwater,lake,77,2.052,0.152,-0.026,0.81,0.684,0.0001,-0.11,0.322,-0.117,0.125,-0.031,0.707
LEWA01,exp,marine,mesocosm,12,0.406,0.524,0.473,0.068,0.554,0.024,0.346,0.228,-0.278,0.062,-0.532,0.04
HILL03,exp,freshwater,microcosm,90,0.0001,0.993,-0.07,0.542,0.533,0.0001,0.139,0.171,0.003,0.974,-0.297,0.0001
HILL04,field,freshwater,lake,226,2.755,0.097,-0.052,0.438,0.168,0.003,0.132,0.027,0.027,0.633,-0.572,0.0001
LEWA02,exp,marine,mesocosm,24,0.024,0.877,0.015,0.939,0.169,0.701,-0.005,0.982,-0.216,0.316,0.068,0.701
LEWA03,exp,marine,mesocosm,12,0.188,0.665,-0.221,0.307,-0.029,0.801,-0.101,0.656,0.03,0.9,-0.324,0.409
LEWA04,exp,marine,mesocosm,12,0.043,0.836,0.205,0.302,0.035,0.866,0.166,0.148,0.07,0.48,-0.799,0.0001
HILL05,exp,marine,microcosm,59,1.138,0.286,0.164,0.289,-0.021,0.842,-0.014,0.93,-0.098,0.359,-0.544,0.0001
HILL06,field,freshwater,lake,131,0.369,0.543,0.175,0.043,0.197,0.005,-0.104,0.236,0.092,0.19,-0.673,0.0001
AMCAMP,field,terrestial,grassland,30,0.448,0.503,-0.028,0.824,0.292,0.21,-0.388,0.038,-0.223,0.229,-0.252,0.066
AZI,field,terrestial,grassland,29,1.228,0.268,0.2,0.133,0.025,0.831,-0.148,0.354,0.327,0.039,0.0001,0.9999
BARTA,field,terrestial,grassland,30,0.897,0.343,0.025,0.893,0.086,0.632,0.307,0.063,-0.155,0.509,-0.124,0.585
BLDR,field,terrestial,grassland,20,0.156,0.693,-0.382,0.193,0.301,0.085,-0.119,0.62,-0.026,0.88,0.192,0.243
BNCH,field,terrestial,grassland,30,0.02,0.887,-0.401,0.008,-0.185,0.277,0.378,0.014,0.211,0.266,-0.1,0.616
BOGONG,field,terrestial,grassland,30,0.015,0.902,0.462,0.002,-0.098,0.506,0.076,0.657,-0.084,0.589,-0.077,0.686
