Study ID,Study type,Ecosystem type,Habitat,Sampling size,Chi2,p (Chi2),a->S,p (a->S),a->B,p (a->B),b->S,p (b->S),b->B,p (b->B),S->B,p (S->B)
HILL01,field,freshwater,lake,100,0.052,0.819,0.463,0.0001,0.678,0.0001,-0.191,0.026,-0.019,0.822,0.081,0.288
HILL02,field,freshwater,lake,23,0.003,0.96,-0.206,0.228,0.613,0.0001,0.197,0.226,-0.009,0.97,-0.041,0.779
DECL01,exp,freshwater,mesocosm,77,1.513,0.219,-0.297,0.004,0.232,0.013,-0.061,0.588,-0.134,0.086,-0.524,0.0001
STRIE01,exp,freshwater,mesocosm,41,0.512,0.474,0.327,0.028,0.604,0.0001,-0.103,0.461,-0.029,0.784,0.327,0.002
URABE01,field,freshwater,lake,77,2.052,0.152,0.468,0.0001,0.546,0.0001,-0.166,0.084,-0.064,0.346,0.297,0.0001
EPA01,field,freshwater,lake,540,0.307,0.579,0.369,0.0001,0.653,0.0001,-0.021,0.597,-0.045,0.075,0.276,0.0001
LEWA01,exp,marine,mesocosm,12,0.406,0.524,0.665,0.0001,0.886,0.001,0.208,0.406,-0.279,0.017,-0.878,0.0001
VENTE01,field,terrestial,grassland,53,0.004,0.948,0.127,0.362,0.713,0.0001,0.511,0.0001,-0.105,0.363,0.043,0.721
HILL03,exp,freshwater,microcosm,90,0.0001,0.993,-0.417,0.0001,0.693,0.0001,0.166,0.099,-0.094,0.303,0.334,0.0001
HILL04,field,freshwater,lake,226,2.677,0.102,-0.059,0.4,0.25,0.001,0.163,0.012,-0.101,0.102,0.245,0.0001
STRIE02,exp,freshwater,mesocosm,60,0.197,0.657,0.68,0.0001,0.998,0.0001,-0.161,0.2,-0.047,0.354,-0.183,0.01
LEWA02,exp,marine,mesocosm,24,0.024,0.877,-0.121,0.412,0.178,0.475,0.043,0.864,-0.219,0.282,0.067,0.789
LEWA03,exp,marine,mesocosm,12,2.505,0.113,0.709,0.0001,-0.271,0.624,0.409,0.0001,-0.102,0.733,0.521,0.331
LEWA04,exp,marine,mesocosm,12,0.043,0.836,0.175,0.413,0.034,0.8,0.131,0.403,0.059,0.486,-0.93,0.0001
HILL05,exp,marine,microcosm,59,1.138,0.286,-0.132,0.294,-0.083,0.517,0.038,0.619,-0.104,0.439,0.209,0.156
LEMMENS,field,freshwater,pond,35,1.681,0.195,-0.079,0.542,0.247,0.168,-0.23,0.17,-0.145,0.327,0.131,0.463
PONDSCAPE,field,freshwater,pond,117,0.002,0.968,0.133,0.075,0.438,0.0001,-0.104,0.342,-0.1,0.218,0.177,0.149
HILL06,field,freshwater,lake,131,0.568,0.451,-0.312,0.0001,0.079,0.33,-0.142,0.106,0.171,0.051,-0.051,0.598
AMCAMP,field,terrestial,grassland,30,0.448,0.503,0.101,0.537,0.336,0.091,-0.207,0.235,-0.2,0.263,-0.36,0.052
AZI,field,terrestial,grassland,29,1.228,0.268,-0.041,0.838,0.036,0.721,0.138,0.469,0.291,0.057,0.263,0.033
BARTA,field,terrestial,grassland,30,0.897,0.343,-0.054,0.747,0.078,0.671,0.294,0.071,-0.164,0.425,-0.097,0.59
BLDR,field,terrestial,grassland,20,0.156,0.693,0.446,0.004,0.202,0.419,0.17,0.428,-0.058,0.739,0.057,0.83
BNCH,field,terrestial,grassland,30,0.02,0.887,-0.366,0.053,-0.022,0.885,0.334,0.05,0.062,0.794,0.334,0.133
BOGONG,field,terrestial,grassland,30,4.792,0.309,0.008,0.533,-0.185,0.148,0.022,0.216,0.005,0.972,-0.366,0.075
BTTR,field,terrestial,grassland,30,0.419,0.517,0.074,0.591,-0.111,0.64,-0.33,0.093,0.134,0.434,-0.204,0.322
BURRAWAN,field,terrestial,grassland,30,0.625,0.429,-0.312,0.025,0.269,0.165,0.036,0.854,0.067,0.664,-0.257,0.043
