crn, julian, press, theta, sigma, temp, sal, oxy, xmiss, fluor, nit, 
#, day, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, %, ug/l, umol/kg, 
1,30,0,26.2693,23.127,26.2693,35.2335,224,-9,0.0208,-9,
1,30,2,26.2691,23.121,26.2695,35.2252,226.2,12.805,0.0492,-9,
1,30,4,26.2728,23.107,26.2737,35.2079,224.8,8.26,0.0424,-9,
1,30,6,26.271,23.107,26.2724,35.2076,215.7,8.045,0.0508,-9,
1,30,8,26.2687,23.109,26.2705,35.2095,222.6,6.555,0.0482,-9,
1,30,10,26.2675,23.111,26.2697,35.2109,220,5.755,0.056,-9,
1,30,12,26.2652,23.11,26.2679,35.2094,218.2,5.35,0.0637,-9,
1,30,14,26.2613,23.111,26.2644,35.2093,217.2,4.415,0.0706,-9,
1,30,16,26.2573,23.113,26.2609,35.2092,216.5,3.08,0.069,-9,
1,30,18,26.2553,23.113,26.2593,35.2095,216.8,2.24,0.0699,-9,
1,30,20,26.2543,23.116,26.2588,35.2125,216.7,1.77,0.0738,-9,
1,30,22,26.2515,23.117,26.2565,35.2124,216.2,1.81,0.0807,-9,
1,30,24,26.2509,23.117,26.2563,35.2123,215.8,1.745,0.092,-9,
1,30,26,26.25,23.117,26.2558,35.2122,216.1,2.01,0.0883,-9,
1,30,28,26.2478,23.117,26.2541,35.2117,215.4,1.935,0.0858,-9,
1,30,30,26.2451,23.118,26.2519,35.2117,214.6,1.84,0.0921,-9,
1,30,32,26.2365,23.121,26.2436,35.2115,215.1,1.795,0.1038,-9,
1,30,34,26.2235,23.125,26.2311,35.2121,215.8,1.975,0.1107,-9,
1,30,36,26.2146,23.129,26.2227,35.2129,215.8,2.125,0.1362,-9,
1,30,38,26.2072,23.131,26.2157,35.2133,215.1,2.03,0.1431,-9,
1,30,40,26.1954,23.135,26.2044,35.2137,216.9,1.965,0.1486,-9,
1,30,42,26.1648,23.148,26.1742,35.2175,216.8,1.775,0.1556,-9,
1,30,44,26.1341,23.157,26.1439,35.2161,214.2,1.665,0.1593,-9,
1,30,46,26.016,23.192,26.0263,35.2139,215.5,1.66,0.1708,-9,
1,30,48,25.9644,23.21,25.9751,35.2173,215.8,1.485,0.185,-9,
1,30,50,25.825,23.255,25.8361,35.2189,216.6,1.41,0.2874,-9,
1,30,52,25.6374,23.314,25.6489,35.22,212.2,1.305,0.296,-9,
1,30,54,25.4432,23.368,25.4551,35.2127,213,1.19,0.2755,-9,
1,30,56,25.3792,23.387,25.3915,35.2111,217.7,1.05,0.2837,-9,
1,30,58,25.2369,23.43,25.2496,35.2111,219.6,0.95,0.3029,-9,
1,30,60,24.989,23.508,25.002,35.2143,219.4,0.84,0.3277,-9,
1,30,62,24.8821,23.543,24.8955,35.2166,219.5,0.71,0.3421,-9,
1,30,64,24.7046,23.595,24.7184,35.2154,219.9,0.55,0.3605,-9,
1,30,66,24.5321,23.647,24.5462,35.2155,219.6,0.51,0.3846,-9,
1,30,68,24.2996,23.719,24.3141,35.2176,219.4,0.455,0.4102,-9,
1,30,70,24.1362,23.77,24.151,35.2213,219.6,0.425,0.4351,-9,
1,30,72,23.9126,23.834,23.9278,35.218,218.9,0.38,0.4805,-9,
1,30,74,23.8208,23.861,23.8363,35.2183,217.7,0.31,0.4926,-9,
1,30,76,23.6645,23.909,23.6803,35.2202,216.6,0.25,0.5223,-9,
1,30,78,23.5487,23.943,23.5649,35.221,216,0.21,0.5483,-9,
1,30,80,23.3894,23.99,23.4059,35.2217,214.8,0.18,0.5997,-9,
1,30,82,23.3716,23.994,23.3886,35.2202,211.8,0.16,0.6078,-9,
1,30,84,23.1623,24.057,23.1795,35.2219,213.4,0.135,0.6436,-9,
1,30,86,23.078,24.082,23.0956,35.2231,211.6,0.12,0.6688,-9,
1,30,88,22.9996,24.107,23.0176,35.2266,210.6,0.105,0.686,-9,
1,30,90,22.9072,24.14,22.9255,35.235,209.9,0.09,0.695,-9,
1,30,92,22.809,24.166,22.8277,35.2321,209.7,0.08,0.7043,-9,
1,30,94,22.702,24.198,22.721,35.2331,208.7,0.07,0.7304,-9,
1,30,96,22.5914,24.234,22.6108,35.2393,207.8,0.06,0.7542,-9,
1,30,98,22.4858,24.263,22.5055,35.2375,207.2,0.055,0.7694,-9,
1,30,100,22.3825,24.292,22.4026,35.2376,206.6,0.05,0.788,-9,
1,30,102,22.2805,24.32,22.3009,35.237,204.1,0.045,0.7919,-9,
1,30,104,22.2046,24.341,22.2253,35.2359,202.8,0.045,0.7865,-9,
1,30,106,22.1133,24.366,22.1344,35.2351,201.7,0.035,0.7779,-9,
1,30,108,22.0144,24.393,22.0358,35.2333,200.8,0.03,0.7643,-9,
1,30,110,21.9255,24.416,21.9472,35.2312,199.7,0.03,0.7367,-9,
1,30,112,21.8525,24.435,21.8746,35.2293,198,0.025,0.7209,-9,
1,30,114,21.7558,24.462,21.7782,35.23,197.3,0.025,0.7067,-9,
1,30,116,21.6547,24.489,21.6774,35.2285,196.6,0.02,0.6847,-9,
1,30,118,21.5227,24.523,21.5457,35.2253,195.8,0.02,0.6732,-9,
1,30,120,21.4643,24.539,21.4876,35.2241,189.7,0.015,0.6607,-9,
1,30,122,21.2695,24.583,21.2931,35.2119,194.7,0.015,0.6241,-9,
1,30,124,21.1532,24.61,21.177,35.2057,192.4,0.015,0.5792,-9,
1,30,126,21.0135,24.642,21.0376,35.198,190.8,0.015,0.5433,-9,
1,30,128,20.847,24.686,20.8714,35.1964,189.1,0.015,0.481,-9,
1,30,130,20.8714,24.677,20.8962,35.1923,188.2,0.01,0.4741,-9,
1,30,132,20.7181,24.707,20.7431,35.1774,188.1,0.01,0.4444,-9,
1,30,134,20.5694,24.741,20.5947,35.1692,188.1,0.01,0.4244,-9,
1,30,136,20.452,24.769,20.4776,35.1654,187.6,0.01,0.3909,-9,
1,30,138,20.3553,24.791,20.3811,35.1596,186.6,0.01,0.3614,-9,
1,30,140,20.2541,24.81,20.2803,35.1499,185.8,0.01,0.3421,-9,
1,30,142,20.1837,24.821,20.2101,35.1398,186,0.01,0.3192,-9,
1,30,144,20.0672,24.846,20.0939,35.1315,184.2,0.01,0.292,-9,
1,30,146,19.9512,24.869,19.9781,35.1217,184.4,0.01,0.276,-9,
1,30,148,19.8545,24.893,19.8818,35.1203,184.5,0.01,0.2585,-9,
1,30,150,19.7393,24.914,19.7668,35.1077,186.5,0.01,0.2521,-9,
1,30,152,19.6055,24.939,19.6333,35.0952,185.2,0.01,0.2207,-9,
1,30,154,19.4996,24.962,19.5276,35.0889,186,0.01,0.1955,-9,
1,30,156,19.3705,24.989,19.3987,35.0804,185.8,0.01,0.1783,-9,
1,30,158,19.2959,25.002,19.3244,35.0721,185.6,0.01,0.1674,-9,
1,30,160,19.1963,25.022,19.225,35.0649,185.6,0.01,0.1503,-9,
1,30,162,19.0843,25.044,19.1133,35.057,185.3,0.01,0.1371,-9,
1,30,164,19.0014,25.059,19.0307,35.0488,184.4,0.01,0.1237,-9,
1,30,166,18.8915,25.078,18.921,35.0367,187,0.01,0.1082,-9,
1,30,168,18.8014,25.094,18.8312,35.0278,188.1,0.01,0.0934,-9,
1,30,170,18.6765,25.114,18.7065,35.0133,188,0.01,0.0805,-9,
1,30,172,18.5943,25.129,18.6246,35.005,187,0.01,0.0723,-9,
1,30,174,18.5176,25.147,18.5481,35.003,188.5,0.01,0.0665,-9,
1,30,176,18.3883,25.168,18.419,34.9879,188.6,0.01,0.0558,-9,
1,30,178,18.2302,25.19,18.2611,34.966,184.5,0.01,0.0456,-9,
