crn, date, stime, etime, itype, depth, chl, phaeo, l12, d12, bsal, pbact, hbact, sbact, ebact, 
#, yymmdd, hhmm, hhmm, , m, mg/m3, mg/m3, mg C/m3, mg C/m3, PSS-78, #/ml, #/ml, #/ml, #/ml, 
1,881031,-9,-9,0,24,0.129,0.077,12.21,-9,-9,-9,-9,-9,-9,
1,881031,-9,-9,0,42,0.192,0.051,2.47,0.07,-9,-9,-9,-9,-9,
1,881031,-9,-9,0,68,0.285,0.303,2.58,0.06,-9,-9,-9,-9,-9,
1,881031,-9,-9,0,114,0.326,0.044,0.72,0.16,-9,-9,-9,-9,-9,
2,881202,-9,-9,0,0,0.202,0,-9,-9,-9,-9,-9,-9,-9,
2,881202,-9,-9,0,25,0.192,0.01,-9,-9,-9,-9,-9,-9,-9,
2,881202,-9,-9,0,50,0.181,0.01,-9,-9,-9,-9,-9,-9,-9,
2,881202,-9,-9,0,76,0.377,0.076,-9,-9,-9,-9,-9,-9,-9,
2,881202,-9,-9,0,102,0.272,0.475,-9,-9,-9,-9,-9,-9,-9,
2,881202,-9,-9,0,127,0.167,0.149,-9,-9,-9,-9,-9,-9,-9,
2,881202,-9,-9,0,150,0.044,0.052,-9,-9,-9,-9,-9,-9,-9,
2,881202,-9,-9,0,176,0.025,0.041,-9,-9,-9,-9,-9,-9,-9,
3,890108,-9,-9,0,9,0.192,0.122,2.005,0.06,-9,-9,-9,-9,-9,
3,890108,-9,-9,0,28,0.256,0.086,2.975,0.05,-9,-9,-9,-9,-9,
3,890108,-9,-9,0,50,0.24,0.072,4.6,0.1,-9,-9,-9,-9,-9,
3,890108,-9,-9,0,77,0.213,0.086,2.11,0.06,-9,-9,-9,-9,-9,
3,890108,-9,-9,0,101,0.266,0.047,-9,-9,-9,-9,-9,-9,-9,
3,890108,-9,-9,0,126,0.269,0.214,0.33,0.06,-9,-9,-9,-9,-9,
3,890108,-9,-9,0,149,0.145,0.249,-9,-9,-9,-9,-9,-9,-9,
3,890108,-9,-9,0,178,0.057,0.063,0.045,0.03,-9,-9,-9,-9,-9,
4,890228,-9,-9,0,10,0.125,0.05,4.75,0.1,-9,-9,-9,-9,-9,
4,890228,-9,-9,0,26,0.129,0.048,5.48,0.13,-9,-9,-9,-9,-9,
4,890228,-9,-9,0,45,0.172,0.063,2.61,0.07,-9,-9,-9,-9,-9,
4,890228,-9,-9,0,75,0.188,0.133,1.7,0.07,-9,-9,-9,-9,-9,
4,890228,-9,-9,0,101,0.223,0.199,-9,-9,-9,-9,-9,-9,-9,
4,890228,-9,-9,0,125,0.167,0.227,2.38,0.06,-9,-9,-9,-9,-9,
4,890228,-9,-9,0,151,0.055,0.096,-9,-9,-9,-9,-9,-9,-9,
4,890228,-9,-9,0,178,0.025,0.029,0.1,0.05,-9,-9,-9,-9,-9,
5,890327,-9,-9,0,5,0.086,0.039,1.92,-9,-9,-9,-9,-9,-9,
5,890327,-9,-9,0,25,0.066,0.034,4.92,-9,-9,-9,-9,-9,-9,
5,890327,-9,-9,0,45,0.09,0.027,4.07,-9,-9,-9,-9,-9,-9,
5,890327,-9,-9,0,75,0.163,0.061,1.015,-9,-9,-9,-9,-9,-9,
5,890327,-9,-9,0,100,0.212,0.168,-9,-9,-9,-9,-9,-9,-9,
5,890327,-9,-9,0,125,0.373,0.428,0.795,-9,-9,-9,-9,-9,-9,
5,890327,-9,-9,0,150,0.235,0.39,-9,-9,-9,-9,-9,-9,-9,
5,890327,-9,-9,0,175,0.041,0.048,0.34,-9,-9,-9,-9,-9,-9,
6,890518,-9,-9,0,5,0.067,0.028,4.025,0.27,-9,-9,-9,-9,-9,
6,890518,-9,-9,0,25,0.077,0.042,7.355,0.35,-9,-9,-9,-9,-9,
6,890518,-9,-9,0,45,0.083,0.041,3.35,0.37,-9,-9,-9,-9,-9,
6,890518,-9,-9,0,75,0.091,0.047,5.54,0.19,-9,-9,-9,-9,-9,
6,890518,-9,-9,0,100,0.164,0.13,-9,-9,-9,-9,-9,-9,-9,
6,890518,-9,-9,0,125,0.208,0.373,0.23,0.23,-9,-9,-9,-9,-9,
6,890518,-9,-9,0,150,0.078,0.04,-9,-9,-9,-9,-9,-9,-9,
6,890518,-9,-9,0,175,0.084,0.038,0.155,0.16,-9,-9,-9,-9,-9,
7,890624,-9,-9,0,5,0.089,0.011,4.7,0.21,-9,-9,-9,-9,-9,
7,890624,-9,-9,0,25,0.09,0.011,3.015,0.19,-9,-9,-9,-9,-9,
7,890624,-9,-9,0,45,0.1,0.026,3.1,0.24,-9,-9,-9,-9,-9,
7,890624,-9,-9,0,75,0.194,0.058,1.105,0.18,-9,-9,-9,-9,-9,
7,890624,-9,-9,0,100,0.328,0.271,3.32,0.12,-9,-9,-9,-9,-9,
7,890624,-9,-9,0,125,0.144,0.274,0.325,0.13,-9,-9,-9,-9,-9,
7,890624,-9,-9,0,150,0.065,0.147,0.21,0.14,-9,-9,-9,-9,-9,
7,890624,-9,-9,0,175,0.039,0.063,0.12,0.13,-9,-9,-9,-9,-9,
8,890729,-9,1900,1,5,0.147,0.018,3.89,0.32,-9,-9,-9,-9,-9,
8,890729,-9,1900,1,25,0.143,0.022,5.025,0.23,-9,-9,-9,-9,-9,
8,890729,-9,1900,1,45,0.153,0.051,6.295,-9,-9,-9,-9,-9,-9,
8,890729,-9,1900,1,75,0.19,0.058,3.795,0.16,-9,-9,-9,-9,-9,
8,890729,-9,1900,1,100,0.347,0.241,3.145,0.17,-9,-9,-9,-9,-9,
8,890729,-9,1900,1,125,0.233,0.293,0.845,0.09,-9,-9,-9,-9,-9,
8,890729,-9,1900,1,150,0.094,0.157,0.225,0.1,-9,-9,-9,-9,-9,
8,890729,-9,1900,1,175,0.095,0.036,0.15,0.15,-9,-9,-9,-9,-9,
