Ref,PDF,Source,Site Name,Site Location,Ecoregion,Landmarks,Latitude,Latitude Converted,Latitude_GoogleEarth,Longitude_GoogleEarth,Base,Substrate,Substrate Sub-category,NDS Category,NDS Sub-category,Orientation to surface,Starting Replicates,Days,Agar Percent,Nitrogen Molarity,Nitrogen Source,Phosphorus Molarity,Phosphorus Source,Design,Year,Season,Month,Order,Order Code,Catchment_km2,Stream Substrate,Substrate Code,Koppen 1st,Koppen full,Elevation_m,Depth_m,Velocity_m_sec,Slope_percent,Discharge_m3_sec,Turbidity_NTU,Primary Land Use,Secondary Land Use,Canopy_Percent,Canopy_Qual,Temp_C,pH,Cond_uS_cm,DO_mg_L,NH4_ug_L,NO3_ug_L,DIN_ug_L,TN_mg_L,SRP_ug_L,TP_ug_L,NO3_SRP_Ratio,Control_mean_mg_m2,Control SE,Control SD,Control Count,N_mean_mg_m2,N SE,N SD,Nitrogen Count,N LRR Effect,N LRR Variance,P_mean_mg_m2,P SE,P SD,Phosphorus Count,P LRR Effect,P LRR Variance,NP_mean_mg_m2,NP SE,NP SD,NP Count,NP LRR,NP LRR Variance,Macroinverts Collected,Macroinverts Excluded,NDS Treatment,Independence Issues,Red Flags,Purpose,Notes,Page
Gustina 2000,Yes,Web of Science 1st Searches,Stevensville Brook,Vermont,Northern Forests,Lat Long,44.30',44.5,,,Clay Pot,Agar,Agar,Clay Pot,Clay Pot,Parallel,4,67,2,0.5,NaNO3,0.05,KH2PO4,Randomized block,1995,Winter,"January, February",2,Small,5.2,"Gravel, Cobble, Boulder",Mixed,D,Dfb,425,0.5,,,,,Forest,,13,,,,,,20,200,,,1,2,,0.1,0.03,0.06,4,0.19,0.07,0.14,4,0.641853886,0.225734072,0.46,0.18,0.36,4,1.526056303,0.243119093,0.36,0.05,0.1,4,1.280933845,0.109290123,No,,,No,No,Interested in winter periphyton dynamics,Recorded upstream water samples,
Klose 2012,Yes,Web of Science 1st Searches,REF12,California,Mediterranean California,Map City Names,,,,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,19,3,0.5,NaNO3,0.5,KH2PO4,,2008,Summer,July,NA,,,,,C,Csb,,0.09,0.1,,,,,,86.5,,21.1,7.91,873,9.58,7,0,13,0.07,4.9,4.4,20.3,21.7,2.6,5.813776741,5,32.5,5.2,11.62755348,5,0.403927829,0.039955794,12.2,2.7,6.037383539,5,-0.575876309,0.063334563,83.9,2.6,5.813776741,5,1.352313353,0.015316129,No,Yes,Land Use Gradient,Yes,Yes,"Effects of dissolved oxygen and development on algae, in chaparrel climate","Some sites look pretty close to each other; unclear which were estuaries but excluded the two labeled as ""estuary"" ",
Ghosh 1994,Yes,Web of Science,Wah Umkhen,India,NA,,25.33',25.55,,,Clay Pot,Plastic cover,Plastic,Clay Pot,Clay Pot,Parallel,2,28,2,0.5,NaNO3,0.5,K2HPO4,,1990-1991,Winter,December-January,NA,,,"Gravel, Boulders, Sandy & Silty Sediment",Mixed,C,Cwb,1700,0.06,0.395,,,,,,0,Open,,6.5,,,41.7312,5311.92,,,2.2,5.8,,3.6,0.3,0.424264069,2,3.9,0.2,0.282842712,2,0.080042708,0.009574293,4.8,0.2,0.282842712,2,0.287682072,0.008680556,4.8,0.1,0.141421356,2,0.287682072,0.007378472,No,No,Velocity,Yes,No,Velocity effects on NDS,"Combined trt had 0.5M NaNO3 and .02M K2HPO4; reported PO4-P but once converted to PO4, it was higher than TP so kept in original units",
Ghosh 1994,Yes,Web of Science,Wah Umkhen,India,NA,,25.33',25.55,,,Clay Pot,Plastic cover,Plastic,Clay Pot,Clay Pot,Parallel,2,28,2,0.5,NaNO3,0.5,K2HPO4,,1990-1991,Winter,December-January,NA,,,"Gravel, Boulders, Sandy & Silty Sediment",Mixed,C,Cwb,1700,0.06,0.105,,,,,,0,Open,,6.5,,,41.7312,5311.92,,,2.2,5.8,,6.1,0.2,0.282842712,2,6.6,0.2,0.282842712,2,0.078780878,0.001993253,10.8,0.1,0.141421356,2,0.571257363,0.001160714,12.5,0.3,0.424264069,2,0.717439873,0.00165098,No,No,Velocity,Yes,No,Velocity effects on NDS,"Combined trt had 0.5M NaNO3 and .02M K2HPO4; reported PO4-P but once converted to PO4, it was higher than TP so kept in original units",
Ghosh 1994,Yes,Web of Science,Wah Umkhen,India,NA,,25.33',25.55,,,Clay Pot,Plastic cover,Plastic,Clay Pot,Clay Pot,Parallel,2,28,2,0.5,NH4Cl,0.02,K2HPO4,,1990-1991,Winter,December-January,NA,,,"Gravel, Boulders, Sandy & Silty Sediment",Mixed,C,Cwb,1700,0.06,,,,,,,0,Open,,6.5,,,41.7312,5311.92,,,2.2,5.8,,5.3,0.6,0.848528137,2,6.3,0.2,0.282842712,2,0.172842813,0.013823759,,,,,,,9.9,0.3,0.424264069,2,0.624827937,0.013734222,No,No,Velocity,Yes,No,Velocity effects on NDS,"reported PO4-P but once converted to PO4, it was higher than TP so kept in original units",
Ghosh 1994,Yes,Web of Science,Wah Umkhen,India,NA,,25.33',25.55,,,Clay Pot,Plastic cover,Plastic,Clay Pot,Clay Pot,Parallel,2,28,2,0.5,NaNO3,0.5,K2HPO4,,1990-1991,Winter,December-January,NA,,,"Gravel, Boulders, Sandy & Silty Sediment",Mixed,C,Cwb,1700,0.06,0.215,,,,,,0,Open,,6.5,,,41.7312,5311.92,,,2.2,5.8,,5.6,0.3,0.424264069,2,5.3,0.4,0.565685425,2,-0.055059777,0.008565875,7.1,0.3,0.424264069,2,0.237328186,0.004655258,7.2,0.3,0.424264069,2,0.251314428,0.004606009,No,No,Velocity,Yes,No,Velocity effects on NDS,"Combined trt had 0.5M NaNO3 and .02M K2HPO4; reported PO4-P but once converted to PO4, it was higher than TP so kept in original units",
Ghosh 1994,Yes,Web of Science,Wah Umkhen,India,NA,,25.33',25.55,,,Clay Pot,Plastic cover,Plastic,Clay Pot,Clay Pot,Parallel,2,28,2,0.5,NH4Cl,0.02,K2HPO4,,1990-1991,Winter,December-January,NA,,,"Gravel, Boulders, Sandy & Silty Sediment",Mixed,C,Cwb,1700,0.06,0.395,,,,,,0,Open,,6.5,,,41.7312,5311.92,,,2.2,5.8,,3.6,0.3,0.424264069,2,3.9,0.2,0.282842712,2,0.080042708,0.009574293,,,,,,,4.1,0.4,0.565685425,2,0.130053128,0.016462588,No,No,Velocity,Yes,No,Velocity effects on NDS,"reported PO4-P but once converted to PO4, it was higher than TP so kept in original units",
Ghosh 1994,Yes,Web of Science,Wah Umkhen,India,NA,,25.33',25.55,,,Clay Pot,Plastic cover,Plastic,Clay Pot,Clay Pot,Parallel,2,28,2,0.5,NH4Cl,0.02,KH2PO4,,1990-1991,Winter,December-January,NA,,,"Gravel, Boulders, Sandy & Silty Sediment",Mixed,C,Cwb,1700,0.06,0.215,,,,,,0,Open,,6.5,,,41.7312,5311.92,,,2.2,5.8,,5.6,0.3,0.424264069,2,4.4,0.6,0.848528137,2,-0.241162057,0.021464939,,,,,,,6.5,0.4,0.565685425,2,0.149035579,0.00665688,No,No,Velocity,Yes,No,Velocity effects on NDS,"reported PO4-P but once converted to PO4, it was higher than TP so kept in original units",
Ghosh 1994,Yes,Web of Science,Wah Umkhen,India,NA,,25.33',25.55,,,Clay Pot,Plastic cover,Plastic,Clay Pot,Clay Pot,Parallel,2,28,2,0.5,NaNO3,0.5,K2HPO4,,1990-1991,Winter,December-January,NA,,,"Gravel, Boulders, Sandy & Silty Sediment",Mixed,C,Cwb,1700,0.06,,,,,,,0,Open,,6.5,,,41.7312,5311.92,,,2.2,5.8,,5.3,0.6,0.848528137,2,5.8,0.6,0.848528137,2,0.090151097,0.023517495,14.6,1,1.414213562,2,1.013314708,0.01750726,10.3,0.4,0.565685425,2,0.664437075,0.014324102,No,No,Velocity,Yes,No,Velocity effects on NDS,"Combined trt had 0.5M NaNO3 and .02M K2HPO4; reported PO4-P but once converted to PO4, it was higher than TP so kept in original units",
Ghosh 1994,Yes,Web of Science,Wah Umkhen,India,NA,,25.33',25.55,,,Clay Pot,Plastic cover,Plastic,Clay Pot,Clay Pot,Parallel,2,28,2,0.5,NH4Cl,0.02,K2HPO4,,1990-1991,Winter,December-January,NA,,,"Gravel, Boulders, Sandy & Silty Sediment",Mixed,C,Cwb,1700,0.06,0.105,,,,,,0,Open,,6.5,,,41.7312,5311.92,,,2.2,5.8,,6.1,0.2,0.282842712,2,5.6,0.2,0.282842712,2,-0.085522173,0.00235049,,,,,,,11.8,0.6,0.848528137,2,0.65981076,0.003660444,No,No,Velocity,Yes,No,Velocity effects on NDS,"reported PO4-P but once converted to PO4, it was higher than TP so kept in original units",
