Ref,PDF,Source,Site Name,Site Location,Ecoregion,Landmarks,Latitude,Latitude Converted,Latitude_GoogleEarth,Longitude_GoogleEarth,Chla_Instrument,Chla_Extraction,Chla_Acidification,Base,Substrate,Substrate Sub-category,NDS Category,NDS Sub-category,Orientation to surface,Starting Replicates,Days,Agar Percent,Nitrogen Molarity,Nitrogen Source,Phosphorus Molarity,Phosphorus Source,Design,Year,Season,Month,Order,Order Code,Catchment_km2,Stream Substrate,Substrate Code,Koppen 1st,Koppen full,Elevation_m,Depth_m,Velocity_m_sec,Slope_percent,Discharge_m3_sec,Turbidity_NTU,Primary Land Use,Secondary Land Use,Canopy_Percent,Canopy_Qual,Temp_C,pH,Cond_uS_cm,DO_mg_L,NH4_ug_L,NO3_ug_L,DIN_ug_L,TN_mg_L,SRP_ug_L,TP_ug_L,NO3_SRP_Ratio,Control_mean_mg_m2,Control SE,Control SD,Control Count,N_mean_mg_m2,N SE,N SD,Nitrogen Count,N Tstat,N Pval 1Tail,N Lim,N Pval 2Tail,N LRR Effect,N LRR Variance,P_mean_mg_m2,P SE,P SD,Phosphorus Count,P Tstat,P Pval 1Tail,P Lim,P Pval 2Tail,P LRR Effect,P LRR Variance,NP_mean_mg_m2,NP SE,NP SD,NP Count,NP Tstat,NP Pval 1Tail,NP Lim,NP Pval 2Tail,NP LRR,NP LRR Variance,Macroinverts Collected,Macroinverts Excluded,NDS Treatment,Independence Issues,Red Flags,Purpose,Notes,Page
Allen 1996,Yes,Web of Science 1st Searches,French River,Minnesota,Northern Forests,Lake Superior ; avg long,,,47,-88,Spectrophotometer,90% Acetone,Yes,Clay Pot,Agar,Agar,Clay Pot,Clay Pot,Parallel,6,21,3,0.5,NaNO3,0.05,Na2HPO4,,1992,Spring,May,3,Small,80.3,"Cobbles, Boulders",Large,D,Dfb,,,,,2.85,,Forest,,,Moderate,9.3,,,,,,25.1,,5.3,,24.5,6.7,0.52,1.273734666,6,7.62,1.22,2.988377486,6,-0.693712626,0.251828625,No,0.503657251,0.128668843,0.03165722,13.19,1.56,3.821203999,6,-3.946765772,0.001372312,Yes,0.002744624,0.67735144,0.020011742,11.94,1.75,4.28660705,6,-2.870252774,0.00833076,Yes,0.01666152,0.577786582,0.027505254,No,No,Season ,No,No,Effects of season on NDS,DIN:SRP Molar Ratio,"Fig. 1, Fig. 2, Table 4"
Allen 1996,Yes,Web of Science 1st Searches,French River,Minnesota,Northern Forests,Lake Superior ; avg long,,,47,-88,Spectrophotometer,90% Acetone,Yes,Clay Pot,Agar,Agar,Clay Pot,Clay Pot,Parallel,6,21,3,0.5,NaNO3,0.05,Na2HPO4,,1991,Summer,June,3,Small,80.3,"Cobbles, Boulders",Large,D,Dfb,,,,,0.46,,Forest,,,Moderate,18.6,,,,,,100.4,,7.4,,29.6,6.45,1.7,4.164132563,6,13.08,1.22,2.988377486,6,-3.168515316,0.005006437,Yes,0.010012875,0.707004215,0.078166677,7.84,1.18,2.890397896,6,-0.671693561,0.258497499,No,0.516994998,0.195158704,0.092120301,12.38,2.44,5.976754972,6,-1.994068843,0.037058377,Yes,0.074116754,0.652002136,0.108312269,No,No,Season ,No,No,Effects of season on NDS,DIN:SRP Molar Ratio,"Fig. 1, Fig. 2, Table 1"
Allen 1996,Yes,Web of Science 1st Searches,French River,Minnesota,Northern Forests,Lake Superior ; avg long,,,47,-88,Spectrophotometer,90% Acetone,Yes,Clay Pot,Agar,Agar,Clay Pot,Clay Pot,Parallel,6,21,3,0.5,NaNO3,0.05,Na2HPO4,,1991,Summer,August,3,Small,80.3,"Cobbles, Boulders",Large,D,Dfb,,,,,0.43,,Forest,,,Moderate,20.2,,,,,,13.9,,3.6,,8.2,3.24,0.35,0.85732141,6,9.47,2.61,6.393168229,6,-2.36579625,0.019780022,Yes,0.039560043,1.072555577,0.087628652,4.07,0.52,1.273734666,6,-1.324149674,0.107460299,No,0.214920598,0.22806967,0.027993006,7.58,2.44,5.976754972,6,-1.760667198,0.054393006,No,0.108786013,0.84993987,0.115288774,No,No,Season ,No,No,Effects of season on NDS,DIN:SRP Molar Ratio,"Fig. 1, Fig. 2, Table 2"
Allen 1996,Yes,Web of Science 1st Searches,French River,Minnesota,Northern Forests,Lake Superior ; avg long,,,47,-88,Spectrophotometer,90% Acetone,Yes,Clay Pot,Agar,Agar,Clay Pot,Clay Pot,Parallel,6,21,3,0.5,NaNO3,0.05,Na2HPO4,,1991,Fall,October,3,Small,80.3,"Cobbles, Boulders",Large,D,Dfb,,,,,0.48,,Forest,,,Moderate,5.8,,,,,,20.35,,6.4,,6.87,5.08,1.74,4.262112152,6,6.39,1.22,2.988377486,6,-0.616444992,0.275687566,No,0.551375131,0.229423007,0.153771448,6.24,1.4,3.42928564,6,-0.519412242,0.307387203,No,0.614774405,0.205668921,0.167656684,4.88,0.88,2.155550974,6,0.102570846,0.460165647,No,0.920331294,-0.040166042,0.149837875,No,No,Season ,No,No,Effects of season on NDS,DIN:SRP Molar Ratio,"Fig. 1, Fig. 2, Table 3"
Ambrose 2004 and Ambrose 2003,Yes,Web of Science 1st Searches,Tarup Creek,California,Marine West Coast Forests,Map Lat Long and distance to Ocean,"41.27'45""",41.4625,42,-125,Spectrophotometer,,Yes,Clay Pot,Agar,Agar,Clay Pot,Clay Pot,Parallel,8,21,2,0.5,NaNO3,0.1,KH2PO4,Block,2002,Summer,August,2 or 3,Small,4.9,"Cobbles, Pebbles",Large,C,Csb,,,,1.8,,,Forest,,,Closed,12,,,,,,,0.22,,13.4,,0.01,0.01,0.01,8,1.1,0.4,1.13137085,8,-2.724893561,0.008217517,Yes,0.016435034,4.700480366,0.257231405,0.4,0.09,0.254558441,8,-4.329993581,0.00034611,Yes,0.00069222,3.688879454,0.175625,0.9,0.19,0.537401154,8,-4.683399756,0.000176039,Yes,0.000352078,4.49980967,0.169567901,No,No,Salmon Carcass Enrichment,Yes,No,Salmon carcass effects on stream biota and nutrient cycling,Temp data from 2003 thesis; nutrients from late June grab sample; marked control variables as .01,
Ambrose 2004 and Ambrose 2003,Yes,Web of Science 1st Searches,Tectah Creek,California,Marine West Coast Forests,Map Lat Long and distance to Ocean,"41.15'47""",41.4625,41,-123,Spectrophotometer,,Yes,Clay Pot,Agar,Agar,Clay Pot,Clay Pot,Parallel,8,21,2,0.5,NaNO3,0.1,KH2PO4,Block,2002,Summer,August,2 or 3,Small,7.9,"Cobbles, Pebbles",Large,C,Csb,,,,2.9,,,Forest,,,Open,12.5,,,,,,,0.2,,9.5,,4.5,0.1,0.282842712,8,23.3,2.2,6.222539674,8,-8.536640253,3.19E-07,Yes,6.38E-07,1.644375964,0.009409077,10.6,5.8,16.40487732,8,-1.051567853,0.15540544,No,0.310810879,0.856776604,0.29988863,8.6,2,5.656854249,8,-2.047442295,0.029929953,Yes,0.059859907,0.647684806,0.054577115,No,No,No Carcass Enrichment,Yes,No,Salmon carcass effects on stream biota and nutrient cycling,Temp data from 2003 thesis; nutrients from late June grab sample,
Ambrose 2004 and Ambrose 2003,Yes,Web of Science 1st Searches,Tarup Creek,California,Marine West Coast Forests,Map Lat Long and distance to Ocean,"41.27'45""",41.4625,42,-125,Spectrophotometer,,Yes,Clay Pot,Agar,Agar,Clay Pot,Clay Pot,Parallel,8,21,2,0.5,NaNO3,0.1,KH2PO4,Block,2002,Summer,August,2 or 3,Small,4.9,"Cobbles, Pebbles",Large,C,Csb,,,,2.8,,,Forest,,,Open,11.6,,,,,,,0.29,,11.2,,9.6,4,11.3137085,8,28.1,19.8,56.00285707,8,-0.915841584,0.187628057,No,0.375256115,1.074006478,0.670109382,14.2,9.4,26.58721497,8,-0.450288439,0.329698345,No,0.65939669,0.391478866,0.611817816,22.6,10.39,29.38735783,8,-1.167660013,0.131223056,No,0.262446111,0.856186808,0.384966934,No,No,Salmon Carcass Enrichment,Yes,No,Salmon carcass effects on stream biota and nutrient cycling,Temp data from 2003 thesis; nutrients from late June grab sample,
Ambrose 2004 and Ambrose 2003,Yes,Web of Science 1st Searches,Tectah Creek,California,Marine West Coast Forests,Map Lat Long and distance to Ocean,"41.15'47""",41.4625,41,-123,Spectrophotometer,,Yes,Clay Pot,Agar,Agar,Clay Pot,Clay Pot,Parallel,8,21,2,0.5,NaNO3,0.1,KH2PO4,Block,2002,Summer,August,2 or 3,Small,7.9,"Cobbles, Pebbles",Large,C,Csb,,,,1.7,,,Forest,,,Closed,11.8,,,,,,,0.27,,13.9,,1.8,0.6,1.697056275,8,2.2,0.1,0.282842712,8,-0.657595949,0.260731867,No,0.521463733,0.200670695,0.113177227,2.4,1.2,3.39411255,8,-0.447213595,0.33078094,No,0.661561879,0.287682072,0.361111111,1.4,0.1,0.282842712,8,0.657595949,0.260731867,No,0.521463733,-0.251314428,0.116213152,No,No,No Carcass Enrichment,Yes,No,Salmon carcass effects on stream biota and nutrient cycling,Temp data from 2003 thesis; nutrients from late June grab sample,
Atkinson 2013,Yes,Web of Science 1st Searches,LM2,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,24.2,,,3.76,,30.73,7.51,26.97,5.56,,,,,,,22.5,57.6,2.6,9.006664199,12,70.3,3.7,12.81717598,12,-2.808387716,0.005119298,Yes,0.010238596,0.199249231,0.004807602,49.1,3.8,13.16358614,12,1.846082032,0.039189929,No,0.078379858,-0.159663533,0.008027207,88.3,5.3,18.35973856,12,-5.20040281,1.62E-05,Yes,3.25E-05,0.42721754,0.005640238,No,No,High mussel density,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,LN3,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Fluorometer,90% Acetone,,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,25.23,,,2.72,,31.52,7.58,30.85,6.95,,,,,,,18.44,66.9,5,17.32050808,12,136.1,12.6,43.64768035,12,-5.104822001,2.04E-05,Yes,4.09E-05,0.710190943,0.014156699,75.4,7.7,26.67358244,12,-0.925829253,0.182290041,No,0.364580082,0.119608308,0.016014737,109.3,9.1,31.5233247,12,-4.083535482,0.000245985,Yes,0.000491969,0.490897428,0.012517574,No,No,Low mussel density ,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
