Chla_Mean,Chla_SE,LRR_Mean,LRR_Var,Trt,Temp,NH4_ug_L,NO3_ug_L,DIN_ug_L,TN_mg_L,SRP_ug_L,TP_ug_L,NO3_SRP_Ratio,Canopy_Quant
31.3,3.8,,,Ctrl,29.13,,,,,,,18.07,0
24.9,3.6,,,Ctrl,30.4,,,,,,,17.61,14.97
79.4,3.5,,,Ctrl,28.55,,,,,,,17.75,41.49
63.8,6,,,Ctrl,29.45,,,,,,,22.64,22.33
64,3.1,,,Ctrl,30.39,,,,,,,16.19,38.36
57.6,2.6,,,Ctrl,30.73,,,,,,,22.5,3.76
43.6,1.8,,,Ctrl,28.93,,,,,,,19.27,8.85
26.5,4.2,,,Ctrl,30.74,,,,,,,21.62,1.03
55.9,7.5,,,Ctrl,32.4,,,,,,,17.2,27.03
64.6,5.2,,,Ctrl,30.41,,,,,,,21.8,6.96
69.3,4.2,,,Ctrl,28.66,,,,,,,14.56,18.62
55.7,6,,,Ctrl,29.48,,,,,,,15.87,1.48
64.8,3.7,,,Ctrl,27.13,,,,,,,19.34,38.04
66.9,5,,,Ctrl,31.52,,,,,,,18.44,2.72
88,4.8,,,Ctrl,29.43,,,,,,,17.11,52.18
83.2,5,,,Ctrl,28.41,,,,,,,21.73,21.29
64.5,3.7,,,Ctrl,29.4,,,,,,,22.47,19.14
36.9,6.2,,,Ctrl,29.1,,,,,,,23.51,14.06
45.3,3.2,,,Ctrl,,,,29.9,0.424,43.2,64.9,14.5,
2147.7,443.2,,,Ctrl,,,,508.1,1.824,94.1,118,34.2,15.8
102.7,9.9,,,Ctrl,,,,208,0.79,107.3,136.6,12.8,37.2
60.3,3.3,,,Ctrl,,,,599.9,1.278,176.8,247.7,11.4,73.6
102.8,10.1,,,Ctrl,,,,4090.6,4.49,308,371.8,26.7,40
108.9,9.9,,,Ctrl,,,,3270.3,3.537,319.7,398,19.7,66
0.34,0.028460499,,,Ctrl,23.2,148,27,,,9,,428,
0.48,0.056920998,,,Ctrl,22.35,371,167,,,27,,131,
1.64,0.154951605,,,Ctrl,18.8,289.5,57,,,15,,60,
4.75,0.458530261,,,Ctrl,20.35,576,29,,,54,,89,
2.22,0.186574382,,,Ctrl,20.2,798.5,30,,,22,,55,
2.68,0.240333102,,,Ctrl,18.2,194,25,,,15,,52,
2.18,0.110679718,,,Ctrl,16.6,67,17,,,13,,13,
3.29,0.556560868,,,Ctrl,18.5,388.5,27,,,26,,104,
1.38,0.098030607,,,Ctrl,21.5,161,25,,,34,,28,
7.17,0.910735966,,,Ctrl,18.5,388.5,27,,,26,,104,
18.69,0.996117463,,,Ctrl,20.2,798.5,30,,,22,,55,
1.47,0.142302495,,,Ctrl,16.6,67,17,,,13,,13,
18.49,1.467296834,,,Ctrl,18.2,194,25,,,15,,52,
18.83,1.641222106,,,Ctrl,20.35,576,29,,,54,,89,
35.38,1.113121736,,,Ctrl,18.8,289.5,57,,,15,,60,
6.01,0.468017094,,,Ctrl,21.5,161,25,,,34,,28,
11.1,1.58113883,,,Ctrl,23.2,148,27,,,9,,428,
5.53,0.502802148,,,Ctrl,22.35,371,167,,,27,,131,
0.7,0.05,,,Ctrl,,14.69,,,,0.48,,,
7,1.05,,,Ctrl,10.2,1.8,2.3,,,0.05,,,
4.9,1,,,Ctrl,10.2,0.93,1.4,,,0.85,,,
11.6,2,,,Ctrl,10.2,0.93,1.4,,,0.85,,,
7.8,1.05,,,Ctrl,10.2,1.8,2.3,,,0.05,,,
10.2,0.01,,,Ctrl,10.2,0.93,1.4,,,0.85,,,
6.91,1.05,,,Ctrl,10.2,1.8,2.3,,,0.05,,,
28,3.9,,,Ctrl,18.6,5,70,,176.7,,,,
139.5,11.6,,,Ctrl,3.2,5.7,126.7,,226.7,4.2,,,
43.2,3.55,,,Ctrl,17.8,,,,1.77,,21,,54
35.4,8.85,,,Ctrl,11.9,,,,4.76,,35,,44
46.7,11.35,,,Ctrl,13.8,,,,0.895,,61,,72
1.83,0.01,,,Ctrl,8.53,,,,,,,,12
14.1,1.8,,,Ctrl,8.53,,,,,,,,12
14.3,2,,,Ctrl,8.53,,,,,,,,12
19.9,6.6,,,Ctrl,8.53,,,,,,,,12
321.3,22.5,,,Ctrl,9.65,,3410,,,3.9,,,13.5
152.4,13.3,,,Ctrl,9.65,,3410,,,3.9,,,13.5
63.9,27.7,,,Ctrl,9.65,,3410,,,3.9,,,13.5
194.8,36.8,,,Ctrl,9.65,,3410,,,3.9,,,13.5
1.3,0.4,,,Ctrl,,,,6.9,0.09,2.5,6.25,25,
2.5,0.5,,,Ctrl,,,,23.1,0.5,30.8,62.15,20.5,
0.2,0.01,,,Ctrl,15,6.3,186.4,,,9.8,,,86.3
0.7,0.1,,,Ctrl,1,14.6,239.4,,,6.2,,,60.3
0.59,0.2,,,Ctrl,1,14.6,239.4,,,6.2,,,60.3
6,0.5,,,Ctrl,3.1,4.3,308.2,,,3.5,,,36.8
1.3,0.2,,,Ctrl,11.7,5.1,131.4,,,6.7,,,87
1.2,0.2,,,Ctrl,6.9,6.2,79.2,,,6.4,,,46.6
2.9,0.8,,,Ctrl,15,6.3,186.4,,,9.8,,,86.3
2.4,0.4,,,Ctrl,3.1,4.3,308.2,,,3.5,,,36.8
2.6,0.5,,,Ctrl,2.5,8.1,170.6,,,2.2,,,54.5
17.6,0.9,,,Ctrl,9.6,3.6,263.3,,,5.6,,,33.1
5.7,1.5,,,Ctrl,2.5,8.1,170.6,,,2.2,,,54.5
1.1,0.4,,,Ctrl,11.7,5.8,627.9,,,6.6,,,85.3
7,1,,,Ctrl,6.5,3.8,164.9,,,4.8,,,42
8.6,0.5,,,Ctrl,11.7,5.8,627.9,,,6.6,,,85.3
9.7,3,,,Ctrl,11.7,5.1,131.4,,,6.7,,,87
23.5,2.8,,,Ctrl,9.6,3.6,263.3,,,5.6,,,33.1
3.5,1,,,Ctrl,6.9,6.2,79.2,,,6.4,,,46.6
4.9,1.4,,,Ctrl,6.5,3.8,164.9,,,4.8,,,42
1.3,0.6,,,Ctrl,17.8,,486.926,,,10,,25,
65.3,0.6,,,Ctrl,18,,5311.92,,,250,,11,
67.6,6.1,,,Ctrl,17.5,,250,,,10,,,
46.3,6.1,,,Ctrl,17.5,,250,,,10,,,
39.8,7.4,,,Ctrl,17.5,,250,,,10,,,
43,4.1,,,Ctrl,17.5,,250,,,10,,,
50.8,3.6,,,Ctrl,17.5,,250,,,10,,,
86.5,14.3,,,Ctrl,17.5,,250,,,10,,,
1.3,0.6,,,Ctrl,17.8,,486.926,,,10,,25,
65.3,0.6,,,Ctrl,18,,5311.92,,,250,,11,
21.7,2.6,,,Ctrl,21.1,7,0,13,0.07,4.9,4.4,20.3,86.5
33.7,2.6,,,Ctrl,24.5,13.7,0,21.1,0.11,4.4,6.1,25.5,48.3
83.7,11,,,Ctrl,22.9,22.1,50.2,84.7,0.16,5.1,7.1,43.8,29
37.9,2.7,,,Ctrl,25.2,23.1,0,27.9,0.05,4.3,7.3,8.7,28.7
133.6,23.9,,,Ctrl,20.2,16.8,370.5,405.7,0.47,6.9,7.5,115,27
26.1,5.2,,,Ctrl,22.8,13.4,424.7,450.7,0.54,5.5,11.7,90.6,38.8
57.6,5.3,,,Ctrl,24.5,20.9,117.2,149.4,0.86,5.7,30.7,57.1,16.9
104.4,5.3,,,Ctrl,21.7,12.6,19.3,41,0.25,14.7,58,9.1,37.8
73.3,5.4,,,Ctrl,23.2,16.5,15.5,48.9,0.05,9.1,63.4,14.3,50.3
210.7,29.3,,,Ctrl,25.8,21.6,280.2,308.8,0.58,50.2,107,11.4,25.6
388,22.7,,,Ctrl,24.6,30.2,484.1,526.7,0.81,73.1,138.4,12.3,27.3
16.8,1.6,,,Ctrl,,,,,,,,,7.8
13,5,,,Ctrl,17.1,,67.8,,0.073,,6,12.1,28
10,3,,,Ctrl,10,,12.8,,0.04,,6,6.4,70
10,3,,,Ctrl,12.6,,60.5,,0.082,,6,14.9,24
14,2,,,Ctrl,10.3,,27.6,,0.048,,7,6.9,70
5,0.01,,,Ctrl,11.2,,72.5,,0.082,,7,11.6,9
4,1,,,Ctrl,18.6,,13.4,,0.064,,7,9.6,70
25,3,,,Ctrl,9,,167.1,,0.135,,7,18.1,30
8,5,,,Ctrl,15.9,,2.4,,0.29,,8,36.1,58
10,1,,,Ctrl,17,,38.3,,0.072,,9,8.4,47
14,2,,,Ctrl,12.3,,52.8,,0.068,,9,8,0
13,2,,,Ctrl,14.9,,34.9,,0.073,,10,7.7,46
11,2,,,Ctrl,7.1,,12.7,,0.03,,10,3.4,5
22,6,,,Ctrl,6.4,,6.3,,0.04,,11,3.5,67
19,3,,,Ctrl,17.3,,2.8,,0.154,,11,14.3,42
13,3,,,Ctrl,14.7,,9.6,,0.096,,11,9.2,9
33,6,,,Ctrl,17.3,,1.5,,0.109,,12,9.5,5
17,3,,,Ctrl,14.8,,6.3,,0.078,,12,6.8,9
39,6,,,Ctrl,14.8,,4.9,,0.097,,12,8.3,3
4,1,,,Ctrl,13,,74.5,,0.206,,20,10.5,5
0.28,0.11,,,Ctrl,18,,12.2,,,3.6,,,
10.1,0.01,,,Ctrl,10.1,73.98,182.9,,,7.6,8.05,36.88,
9,1.7,,,Ctrl,10.3,79.74,201.5,,,7.6,11.15,40.62,
31.8,12.6,,,Ctrl,11.5,83.16,226.3,,,7.6,12.08,45.62,
8.5,0.938971068,,,Ctrl,,,,,,,,,
24.8,2.163715939,,,Ctrl,,,,,,,,,
8.6,0.5,,,Ctrl,23.9,46.44,1976.03424,,,6.13,92.91,4.7,
0.19,0.07,,,Ctrl,18.6,,,,0.441,,6,163,0.6
2.7,0.3,,,Ctrl,18.6,,,,0.441,,6,163,60
0.1,0.02,,,Ctrl,14.6,,,,0.457,,7,145,0.6
2.4,0.8,,,Ctrl,14.6,,,,0.457,,7,145,60
8.05,0.956250117,,,Ctrl,,,0.1,1.2,0.062,1.1,18.6,,
18.63,0.956250117,,,Ctrl,,,5.2,8.3,0.079,1.7,19.8,,
17.36,0.952470472,,,Ctrl,,,0.1,1.2,0.077,1.3,20,,
9,0.680336051,,,Ctrl,,,1.2,4.1,0.079,1.7,21.9,,
2.8,0.7,,,Ctrl,,,,,,,,,3
2.6,0.6,,,Ctrl,,,,,,,,,6.5
25.1,2.6,,,Ctrl,,,,,,,,,0
14.8,2,,,Ctrl,,,,,,,,,20
58,17,,,Ctrl,,,,,,,,,0
75.6,12.3,,,Ctrl,,,,,,,,,0
19.76,1.867144497,,,Ctrl,,,7.7,11.9,0.11,2,22.1,,
9.68,1.080978393,,,Ctrl,,,1.3,5,0.096,1.3,22.3,,
3.52,1.088537682,,,Ctrl,,,1.5,5.5,0.16,1.3,24.1,,
19.74,1.508078247,,,Ctrl,,,0.4,2.9,0.11,4,25.3,,
30.34,2.324481509,,,Ctrl,,,1.2,6.1,0.1,4.9,25.5,,
34.5,2.781818521,,,Ctrl,,,1,3.2,0.12,5.5,25.7,,
38,9.675890509,,,Ctrl,,,0.9,12.7,0.17,6.8,26.6,,
15.93,2.143058562,,,Ctrl,,,0.1,2.6,0.12,5.3,27.3,,
26.6,7.090613514,,,Ctrl,,,0.6,2.4,0.17,5.7,27.9,,
60,3.590662494,,,Ctrl,,,47.8,50.9,0.13,6.8,28.8,,
16.8,3.174901573,,,Ctrl,,,0,0.7,0.071,5.1,28.8,,
30.13,3.651136809,,,Ctrl,,,0.5,3.6,0.12,6.8,29,,
12.09,0.820182906,,,Ctrl,,,0.2,3.5,0.14,7.2,29.9,,
7.54,0.657658183,,,Ctrl,,,0,2.5,0.087,6.2,30.3,,
13.65,1.508078247,,,Ctrl,,,0.3,5.3,0.17,8,30.8,,
18.81,1.621467589,,,Ctrl,,,1.5,5.4,0.2,3.1,31.3,,
11.52,0.604743157,,,Ctrl,,,15,22.4,0.21,1.5,32.4,,
41.41,3.254274113,,,Ctrl,,,0.6,5.7,0.23,2.6,32.4,,
139.86,9.38863751,,,Ctrl,,,36,42.2,0.17,8.7,36.1,,
21.75,7.782288499,,,Ctrl,,,2,6.2,0.16,1.5,37.2,,
35.64,2.66086989,,,Ctrl,,,2.3,12.3,0.19,5.5,37.2,,
11.52,0.453557368,,,Ctrl,,,2.2,4.4,0.091,14.8,41,,
32.48,2.630632732,,,Ctrl,,,3.3,5.9,0.16,16.4,41.8,,
7.54,0.438438789,,,Ctrl,,,1.1,5,0.17,1.9,41.8,,
16.1,1.852025918,,,Ctrl,,,2.2,11,0.25,5.6,42,,
17.28,2.539921259,,,Ctrl,,,1.1,6.6,0.19,7.1,45.2,,
19.72,0.76726788,,,Ctrl,,,19.2,25.2,0.17,1.8,47.6,,
27.74,2.872529995,,,Ctrl,,,1.1,6.6,0.21,7.6,50.6,,
34,8.164032617,,,Ctrl,,,0.2,8.6,0.12,3.2,51,,
