"ID_study","system","latitud","longitud","n_avail","n_total","p_avail","p_total","c_total","light","temp","duration","vol","tax_resp","tax_resp_mn","tax_resp_sd","tax_resp_reps","tax_resp_cat","tax_resp_typ","n_add","p_add","n_rate","p_rate","tax_resp_unit","fert_unit"
"BBH041","freshwater","44","-74","25",NA,"0.75",NA,NA,NA,"22.5","2","10","phytoplankton","13","0.12","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH041","freshwater","44","-74","25",NA,"0.75",NA,NA,NA,"22.5","2","10","phytoplankton","13","2.2","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH041","freshwater","44","-74","25",NA,"0.75",NA,NA,NA,"22.5","2","10","phytoplankton","16","0.52","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH041","freshwater","44","-74","25",NA,"0.75",NA,NA,NA,"22.5","2","10","phytoplankton","38","1.1","3","biomass","chlorophyll","1","0",NA,NA,NA,NA
"BBH041","freshwater","44","-74","25",NA,"0.75",NA,NA,NA,"22.5","2","10","phytoplankton","36","2.8","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH042","freshwater","44","-74","24",NA,"0.38",NA,NA,NA,"22.5","2","10","phytoplankton","3.7","0.49","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH042","freshwater","44","-74","24",NA,"0.38",NA,NA,NA,"22.5","2","10","phytoplankton","4.3","0.66","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH042","freshwater","44","-74","24",NA,"0.38",NA,NA,NA,"22.5","2","10","phytoplankton","4.5","0.86","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH042","freshwater","44","-74","24",NA,"0.38",NA,NA,NA,"22.5","2","10","phytoplankton","5.4","0.36","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH043","freshwater","44","-74","4.7",NA,"0.27",NA,NA,NA,"22.5","2","10","phytoplankton","4.1","0.16","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH043","freshwater","44","-74","4.7",NA,"0.27",NA,NA,NA,"22.5","2","10","phytoplankton","4.6","0.22","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH043","freshwater","44","-74","4.7",NA,"0.27",NA,NA,NA,"22.5","2","10","phytoplankton","5.6","0.39","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
"BBH043","freshwater","44","-74","4.7",NA,"0.27",NA,NA,NA,"22.5","2","10","phytoplankton","5.6","0.074","3","biomass","chlorophyll","1","1",NA,NA,NA,NA
"BBH044","freshwater","44","-74","4.7",NA,"0.27",NA,NA,NA,"22.5","2","10","phytoplankton","3.4","0.19","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH044","freshwater","44","-74","4.7",NA,"0.27",NA,NA,NA,"22.5","2","10","phytoplankton","3.5","0.091","3","biomass","chlorophyll","0","0",NA,NA,NA,NA
"BBH044","freshwater","44","-74","4.7",NA,"0.27",NA,NA,NA,"22.5","2","10","phytoplankton","3.1","0.091","3","biomass","chlorophyll","0","1",NA,NA,NA,NA
