ID_response,ID_study,tax_man,fd_ch_trt,tax_man_pres,tax_man_cnt,tax_man_cnt_unit,tax_man_biom,tax_man_biom_unit,tax_man_div,tax_man_div_unit,tax_resp,tax_resp_mn,tax_resp_sd,tax_resp_reps,tax_resp_cat,tax_resp_typ,tax_resp_unit,repeat_meas,n_add,p_add,other1_add,other2_add,lightman,n_rate,p_rate,other_rate,other2_rate,light_rate,other1_typ,other2_typ,elements,fert_unit,Source,note_resp
1,BBH007,zooplankton,1,0,0,.,.,.,.,richness,phytoplankton,0.56,0.133928571,4,biomass,chlorophyll,microg/L,.,0,0,0,0,0,0,0,.,.,.,.,.,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
2,BBH007,zooplankton,2,1,.,.,.,.,.,richness,phytoplankton,0.575,0.076530612,4,biomass,chlorophyll,microg/L,.,0,0,0,0,0,0,0,.,.,.,.,.,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
3,BBH007,zooplankton,1,0,0,.,.,.,.,richness,phytoplankton,0.68,0.133928571,4,biomass,chlorophyll,microg/L,.,1,1,0,0,0,7.5,0.5,1,7.5,.,K,Cl,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
4,BBH007,zooplankton,2,1,.,.,.,.,.,richness,phytoplankton,0.62,0.06377551,4,biomass,chlorophyll,microg/L,.,1,1,0,0,0,7.5,0.5,1,7.5,.,K,Cl,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
5,BBH008,zooplankton,1,0,0,.,.,.,.,richness,phytoplankton,2.4,0.148809524,4,biomass,chlorophyll,microg/L,.,0,0,0,0,0,0,0,.,.,.,.,.,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
6,BBH008,zooplankton,2,1,.,.,.,.,.,richness,phytoplankton,2.2,0.248015873,4,biomass,chlorophyll,microg/L,.,0,0,0,0,0,0,0,.,.,.,.,.,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
7,BBH008,zooplankton,1,0,0,.,.,.,.,richness,phytoplankton,4.8,0.262188209,4,biomass,chlorophyll,microg/L,.,1,1,0,0,0,60,4,8,60,.,K,Cl,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
8,BBH008,zooplankton,2,1,.,.,.,.,.,richness,phytoplankton,3.5,0.085034014,4,biomass,chlorophyll,microg/L,.,1,1,0,0,0,60,4,8,60,.,K,Cl,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
9,BBH009,zooplankton,1,0,0,.,.,.,.,richness,phytoplankton,180,24.66456196,4,biomass,chlorophyll,microg/L,.,0,0,0,0,0,0,0,.,.,.,.,.,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
10,BBH009,zooplankton,2,1,.,.,.,.,.,richness,phytoplankton,190,19.0269478,4,biomass,chlorophyll,microg/L,.,0,0,0,0,0,0,0,.,.,.,.,.,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
11,BBH009,zooplankton,1,0,0,.,.,.,.,richness,phytoplankton,370,29.59747435,4,biomass,chlorophyll,microg/L,.,1,1,0,0,0,60,0.5,1,60,.,K,Cl,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
12,BBH009,zooplankton,2,1,.,.,.,.,.,richness,phytoplankton,355,82.45010711,4,biomass,chlorophyll,microg/L,.,1,1,0,0,0,60,0.5,1,60,.,K,Cl,NH Cl K P,microM,Fig3,DSG 11-07 changed n & P rates to addition levels - not final measured levels as entered before; added nuts 1 & 2
13,BBH016,fish and waterfowl,2,1,.,no/m2,.,mg/m2,14,richness,submersed macrophytes,1.1,0.12755102,8,biomass,AFDM,g/m2,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Fig2,.
14,BBH016,waterfowl,2,1,.,no/m2,.,mg/m2,7,richness,submersed macrophytes,0.5,0.255102041,8,biomass,AFDM,g/m2,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Fig2,.
15,BBH016,fish,2,1,.,no/m2,.,mg/m2,7,richness,submersed macrophytes,1.05,0.382653061,8,biomass,AFDM,g/m2,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Fig2,.
16,BBH016,fish and waterfowl,1,0,0,no/m2,0,mg/m2,0,richness,submersed macrophytes,0.4,0.12755102,8,biomass,AFDM,g/m2,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Fig2,.
17,BBH036,Daphnia carinata,1,0,0,no/L,0,wet g/m3,0,richness,phytoplankton,0.8,.,3,biomass,biovolume,mm3 L-1,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Fig1A,.
18,BBH036,Daphnia carinata,2,1,5.4,no/L,1.7,wet g/m3,1,richness,phytoplankton,0.35,.,3,biomass,biovolume,mm3 L-1,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Fig1A,.
19,BBH041,macrozooplankton/crustacean zooplankton,2,1,612,no/m3,0.53,mg/m3,.,.,phytoplankton,13,0.12,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
20,BBH041,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,13,2.2,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
21,BBH041,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,16,0.52,3,biomass,chlorophyll,microg/L,.,0,1,0,0,0,.,.,.,.,.,.,.,P K,.,Table2and5,.
22,BBH041,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,38,1.1,3,biomass,chlorophyll,microg/L,.,1,0,0,0,0,.,.,.,.,.,.,.,NO K,.,Table2and5,.
23,BBH041,macrozooplankton/crustacean zooplankton,1,0,0,no/m3,0,mg/m3,.,.,phytoplankton,36,2.8,3,biomass,chlorophyll,microg/L,.,1,1,0,0,0,.,.,.,.,.,.,.,NO P K,.,Table2and5,.
24,BBH042,macrozooplankton/crustacean zooplankton,2,1,13674,no/m3,31.82,mg/m3,.,.,phytoplankton,3.7,0.49,3,biomass,chlorophyll,microg/L,.,0,0,0,0,0,.,.,.,.,.,.,.,.,.,Table2and5,.
