Date_entry,ID_study,author,pubyear,citation,publication,pubvol,pagestart,pageend,system,strata,habitat,hab_descrip,location,latitud,longitud,elev,n_avail,n_total,p_avail,p_total,c_total,pH,light,temp,precip,npp,npp_typ,ab,ab_unit,study_typ,cons_man,HA,fert,fdchlg_man,num_nut_tmnt,num_nut,duration,fert_area,cons_area,vol,meta_source,note_study
20060315,BBH007,Elser&Goldman,1991,Limnol Oceanogr 36:64-90,Limnol Oceanogr,36,64,90,freshwater,pelagic,lake,.,lake tahoe CA,39.17,-120.13,1899,0.892857143,.,0.129032258,0.129032258,.,.,.,.,.,.,.,.,.,field,enclosure,3,1,2,1,2,4,0.075,0.075,20,Helmut'student entering data,additional data on productivity; areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060315,BBH008,Elser&Goldman,1991,Limnol Oceanogr 36:64-90,Limnol Oceanogr,36,64,90,freshwater,pelagic,lake,.,castle lake CA,41.22,-122.37,1657,0.464285714,.,0.258064516,0.322580645,.,.,.,.,.,.,.,.,.,field,enclosure,3,1,2,1,2,4,0.046,0.046,10,Helmut'student entering data,additional data on productivity; areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060315,BBH009,Elser&Goldman,1991,Limnol Oceanogr 36:64-90,Limnol Oceanogr,36,64,90,freshwater,pelagic,lake,.,clear lake CA,39.83,-122.75,.,0.642857143,.,5.322580645,11.29032258,.,.,.,.,.,.,.,.,.,field,enclosure,3,1,2,1,2,4,0.046,0.046,10,Helmut'student entering data,additional data on productivity; areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060119,BBH016,Marklund&&,2002,Freshw Biol 47:2049-2059,Freshw Biol,47,2049,2059,freshwater,benthic,lake,.,.,55.53,13.37,.,.,114.2857143,.,3.225806452,.,.,.,.,.,.,.,.,.,field,exclosure,.,0,3,0,0,92,.,20,11.6,Helmut'student entering data,.
20060120,BBH019,Spencer&Ellis,1998,Freshw Biol 39:755-763,Freshw Biol,39,755,763,freshwater,pelagic,lake,.,.,47.87,-114.03,.,0.757142857,.,.,.,.,.,.,.,.,.,.,.,.,field,enclosure,.,1,2,2,2,4.5,.,.,20,Helmut'student entering data,.
20060124,BBH021,Spencer&Ellis,1998,Freshw Biol 39:755-763,Freshw Biol,39,755,763,freshwater,pelagic,lake,.,.,47.87,-114.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,field,enclosure,.,1,2,2,2,4.5,.,.,20,Helmut'student entering data,.
20060124,BBH023,Spencer&Ellis,1998,Freshw Biol 39:755-763,Freshw Biol,39,755,763,freshwater,pelagic,lake,.,.,47.87,-114.03,.,0.321428571,.,0.012903226,.,.,.,.,.,.,.,.,.,.,field,enclosure,.,1,2,2,2,4.5,.,.,20,Helmut'student entering data,.
20060124,BBH025,Spencer&Ellis,1998,Freshw Biol 39:755-763,Freshw Biol,39,755,763,freshwater,pelagic,lake,.,.,47.87,-114.03,.,0.35,.,0.016129032,.,.,.,.,.,.,.,.,.,.,field,enclosure,.,1,2,2,2,4.5,.,.,20,Helmut'student entering data,.
20060126,BBH036,Matveev&&,2000,Freshw Biol 44:375-385,Freshw Biol,44,375,385,freshwater,pelagic,lake,.,.,.,.,.,.,42.85714286,.,1.935483871,.,.,.,.,.,.,.,.,.,lab,enclosure,.,0,2,0,0,38,.,.,3000,Helmut'student entering data,additional data on trophic cascade
20060201,BBH041,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,25,.,0.75,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH042,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,24,.,0.38,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH043,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,4.7,.,0.27,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH044,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,4.7,.,0.27,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH045,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,7.7,.,0.24,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH046,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,5.9,.,0.35,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH047,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,15,.,0.36,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH048,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,4.2,.,0.16,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH049,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,5.9,.,0.17,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH050,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,4.7,.,0.25,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH051,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,3.1,.,0.16,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH052,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,8.8,.,0.24,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH053,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,1.4,.,0.14,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH054,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,8.6,.,0.18,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
20060201,BBH055,Saunders&&,2000,Freshw Biol 43:391-407,Freshw Biol,43,391,407,freshwater,pelagic,lake,.,.,44,-74,.,4.1,.,0.12,.,.,.,.,22.5,.,.,.,.,.,field,removal,.,1,2,2,2,2,0.046,0.046,10,Helmut'student entering data,areas calculated from 'cubitainers' volumes based on surface area of a cube as described in study
