Index,Source number,Source name,Species name,Species code,Invert/Vert,Phylum,Class,Order,Family,Trophic guild,Dry mass (g),Log dry mass,Ecosystem Type,Energy Source,Habitat,Resident ecosystem,Temperature (C),N excretion rate (ug N/ind/h),P excretion rate (ug P/ind/h),Excreted N:P (molar),Log N excretion,Log P excretion,Incubation time (h),N form,P form,Body C,Body N,Body P,Body CN,Body CP,Body NP,Body data source,Data source,Data provider(s)
1,1,Alves et al 2010,Campsurus melanocephalus,Campme,Invertebrate,Arthropoda,Insecta,Ephemeroptera,Campsuridae,algdetr,0.0025,-2.611,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,0.1899,0.2019,2.083,-0.722,-0.695,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
2,1,Alves et al 2010,Campsurus melanocephalus,Campme,Invertebrate,Arthropoda,Insecta,Ephemeroptera,Campsuridae,algdetr,0.0035,-2.462,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,0.3747,0.0528,15.717,-0.426,-1.277,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
3,1,Alves et al 2010,Campsurus melanocephalus,Campme,Invertebrate,Arthropoda,Insecta,Ephemeroptera,Campsuridae,algdetr,0.0038,-2.42,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,0.4195,0.0787,11.81,-0.377,-1.104,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
4,1,Alves et al 2010,Campsurus melanocephalus,Campme,Invertebrate,Arthropoda,Insecta,Ephemeroptera,Campsuridae,algdetr,0.0058,-2.237,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,0.7569,0.3451,4.857,-0.121,-0.462,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
5,1,Alves et al 2010,Campsurus melanocephalus,Campme,Invertebrate,Arthropoda,Insecta,Ephemeroptera,Campsuridae,algdetr,0.0062,-2.208,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,0.6002,0.212,6.267,-0.222,-0.674,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
6,1,Alves et al 2010,Campsurus melanocephalus,Campme,Invertebrate,Arthropoda,Insecta,Ephemeroptera,Campsuridae,algdetr,0.0065,-2.187,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,0.743,0.4544,3.621,-0.129,-0.343,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
7,1,Alves et al 2010,Heteromastus similis,Hetesi,Invertebrate,Annelida,Polychaeta,Unknown,Capitellidae,algdetr,0.0013,-2.886,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,0.2035,0.0998,4.512,-0.692,-1.001,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
8,1,Alves et al 2010,Heteromastus similis,Hetesi,Invertebrate,Annelida,Polychaeta,Unknown,Capitellidae,algdetr,0.0015,-2.824,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,1.2012,0.2478,10.734,0.08,-0.606,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
9,1,Alves et al 2010,Heteromastus similis,Hetesi,Invertebrate,Annelida,Polychaeta,Unknown,Capitellidae,algdetr,0.0021,-2.678,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,2.066,0.5286,8.655,0.315,-0.277,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
10,1,Alves et al 2010,Heteromastus similis,Hetesi,Invertebrate,Annelida,Polychaeta,Unknown,Capitellidae,algdetr,0.0022,-2.658,Freshwater-Lentic,Benthos,Benthic,"Imboassica Lagoon, Brazil",23,0.7718,0.1844,9.269,-0.113,-0.734,1,NH4,SRP,.,.,.,.,.,.,.,Raw data from author(s),"A. Caliman, L.S. Carneiro, R. Guariento"
